Date,AbsoluteHumidity_gm3,Method,Site,Night
06/02/03,22.74592242,HOBO,Saline,TRUE
07/02/03,22.76699348,HOBO,Saline,FALSE
07/02/03,20.73029297,HOBO,Saline,TRUE
08/02/03,21.92880879,HOBO,Saline,FALSE
08/02/03,21.99205825,HOBO,Saline,TRUE
03/03/03,21.74103903,HOBO,Saline,TRUE
04/03/03,22.7474864,HOBO,Saline,FALSE
04/03/03,22.25740697,HOBO,Saline,TRUE
05/03/03,21.68737764,HOBO,Saline,FALSE
05/03/03,19.26495293,HOBO,Saline,TRUE
21/03/03,21.55375514,HOBO,Saline,TRUE
22/03/03,22.23502415,HOBO,Saline,FALSE
22/03/03,20.65328451,HOBO,Saline,TRUE
23/03/03,21.59463644,HOBO,Saline,FALSE
23/03/03,22.60169478,HOBO,Saline,TRUE
24/03/03,21.77952563,HOBO,Saline,FALSE
24/03/03,22.46578809,HOBO,Saline,TRUE
25/03/03,21.6712032,HOBO,Saline,FALSE
25/03/03,20.82716027,HOBO,Saline,TRUE
26/03/03,21.88196434,HOBO,Saline,FALSE
26/03/03,22.16803508,HOBO,Saline,TRUE
27/03/03,22.60923393,HOBO,Saline,FALSE
27/03/03,20.4462016,HOBO,Saline,TRUE
28/03/03,21.31481894,HOBO,Saline,FALSE
28/03/03,20.73394312,HOBO,Saline,TRUE
29/03/03,22.70638766,HOBO,Saline,FALSE
29/03/03,22.11240964,HOBO,Saline,TRUE
30/03/03,20.68998428,HOBO,Saline,FALSE
30/03/03,20.10704158,HOBO,Saline,TRUE
31/03/03,22.15340808,HOBO,Saline,FALSE
31/03/03,22.44960925,HOBO,Saline,TRUE
01/04/03,23.2398886,HOBO,Saline,FALSE
01/04/03,21.71343483,HOBO,Saline,TRUE
02/04/03,21.55785752,HOBO,Saline,FALSE
02/04/03,19.72819835,HOBO,Saline,TRUE
03/04/03,21.55263004,HOBO,Saline,FALSE
03/04/03,20.65177795,HOBO,Saline,TRUE
04/04/03,21.33322994,HOBO,Saline,FALSE
04/04/03,20.72430078,HOBO,Saline,TRUE
05/04/03,21.49959585,HOBO,Saline,FALSE
05/04/03,21.99851325,HOBO,Saline,TRUE
06/04/03,23.00657434,HOBO,Saline,FALSE
06/04/03,21.68023531,HOBO,Saline,TRUE
07/04/03,23.67532067,HOBO,Saline,FALSE
07/04/03,23.14282856,HOBO,Saline,TRUE
08/04/03,23.96881182,HOBO,Saline,FALSE
08/04/03,22.26307435,HOBO,Saline,TRUE
09/04/03,20.46077203,HOBO,Saline,FALSE
09/04/03,19.92680782,HOBO,Saline,TRUE
10/04/03,22.12773385,HOBO,Saline,FALSE
10/04/03,22.475389,HOBO,Saline,TRUE
11/04/03,23.50651907,HOBO,Saline,FALSE
11/04/03,23.40114092,HOBO,Saline,TRUE
12/04/03,24.59395256,HOBO,Saline,FALSE
12/04/03,23.20252828,HOBO,Saline,TRUE
13/04/03,23.58860682,HOBO,Saline,FALSE
13/04/03,21.85889343,HOBO,Saline,TRUE
14/04/03,22.59592563,HOBO,Saline,FALSE
14/04/03,21.80467867,HOBO,Saline,TRUE
15/04/03,23.39017611,HOBO,Saline,FALSE
15/04/03,21.83473041,HOBO,Saline,TRUE
16/04/03,21.66980467,HOBO,Saline,FALSE
16/04/03,21.00028797,HOBO,Saline,TRUE
17/04/03,22.20476509,HOBO,Saline,FALSE
17/04/03,21.32528364,HOBO,Saline,TRUE
18/04/03,22.94497187,HOBO,Saline,FALSE
18/04/03,22.14276108,HOBO,Saline,TRUE
19/04/03,22.04407528,HOBO,Saline,FALSE
