"","Date","Solar_radiation","Method","Comments","Site"
"1",2012-01-28,205.15,"VantagePro","","SEGC"
"2",2012-01-29,138.270833333333,"VantagePro","","SEGC"
"3",2012-01-30,103.604166666667,"VantagePro","","SEGC"
"4",2012-01-31,108.8125,"VantagePro","","SEGC"
"5",2012-02-01,207.916666666667,"VantagePro","","SEGC"
"6",2012-02-02,196.104166666667,"VantagePro","","SEGC"
"7",2012-02-03,194.770833333333,"VantagePro","","SEGC"
"8",2012-02-04,197.791666666667,"VantagePro","","SEGC"
"9",2012-02-05,170.5,"VantagePro","","SEGC"
"10",2012-02-06,168.479166666667,"VantagePro","","SEGC"
"11",2012-02-07,168.0625,"VantagePro","","SEGC"
"12",2012-02-08,102.1875,"VantagePro","","SEGC"
"13",2012-02-09,219.104166666667,"VantagePro","","SEGC"
"14",2012-02-10,203.0625,"VantagePro","","SEGC"
"15",2012-02-11,86.1875,"VantagePro","","SEGC"
"16",2012-02-12,221.8125,"VantagePro","","SEGC"
"17",2012-02-13,76.75,"VantagePro","","SEGC"
"18",2012-02-14,89.5416666666667,"VantagePro","","SEGC"
"19",2012-02-15,149.5,"VantagePro","","SEGC"
"20",2012-02-16,84.4583333333333,"VantagePro","","SEGC"
"21",2012-02-17,238.354166666667,"VantagePro","","SEGC"
"22",2012-02-18,235.416666666667,"VantagePro","","SEGC"
"23",2012-02-19,199.770833333333,"VantagePro","","SEGC"
"24",2012-02-20,220.520833333333,"VantagePro","","SEGC"
"25",2012-02-21,211.208333333333,"VantagePro","","SEGC"
"26",2012-02-22,121.4375,"VantagePro","","SEGC"
"27",2012-02-23,182,"VantagePro","","SEGC"
"28",2012-02-24,193.791666666667,"VantagePro","","SEGC"
"29",2012-02-25,229.1875,"VantagePro","","SEGC"
"30",2012-02-26,236.875,"VantagePro","","SEGC"
"31",2012-02-27,88.8541666666667,"VantagePro","","SEGC"
"32",2012-02-28,235.0625,"VantagePro","","SEGC"
"33",2012-02-29,169.666666666667,"VantagePro","","SEGC"
"34",2012-03-01,257.5,"VantagePro","","SEGC"
"35",2012-03-02,217.479166666667,"VantagePro","","SEGC"
