"","X","Date","Temperature_c","Type","Method","Site","Comments"
"1",1,"1984-01-03",23,"Min","MaxMin Thermometer (manual)","Saline",""
"2",2,"1984-01-05",23,"Min","MaxMin Thermometer (manual)","Saline",""
"3",3,"1984-01-06",22,"Min","MaxMin Thermometer (manual)","Saline",""
"4",4,"1984-01-08",21,"Min","MaxMin Thermometer (manual)","Saline",""
"5",5,"1984-01-09",22,"Min","MaxMin Thermometer (manual)","Saline",""
"6",6,"1984-01-11",21,"Min","MaxMin Thermometer (manual)","Saline",""
"7",7,"1984-01-12",21,"Min","MaxMin Thermometer (manual)","Saline",""
"8",8,"1984-01-13",22,"Min","MaxMin Thermometer (manual)","Saline",""
"9",9,"1984-01-15",21,"Min","MaxMin Thermometer (manual)","Saline",""
"10",10,"1984-01-17",22,"Min","MaxMin Thermometer (manual)","Saline",""
"11",11,"1984-01-18",22,"Min","MaxMin Thermometer (manual)","Saline",""
"12",12,"1984-01-19",22,"Min","MaxMin Thermometer (manual)","Saline",""
"13",13,"1984-01-21",22,"Min","MaxMin Thermometer (manual)","Saline",""
"14",14,"1984-01-22",23,"Min","MaxMin Thermometer (manual)","Saline",""
"15",15,"1984-01-23",22,"Min","MaxMin Thermometer (manual)","Saline",""
"16",16,"1984-01-24",22,"Min","MaxMin Thermometer (manual)","Saline",""
"17",17,"1984-01-25",22,"Min","MaxMin Thermometer (manual)","Saline",""
"18",18,"1984-01-26",23,"Min","MaxMin Thermometer (manual)","Saline",""
"19",19,"1984-01-27",23,"Min","MaxMin Thermometer (manual)","Saline",""
"20",20,"1984-01-28",22,"Min","MaxMin Thermometer (manual)","Saline",""
"21",21,"1984-01-29",23,"Min","MaxMin Thermometer (manual)","Saline",""
"22",22,"1984-01-30",22,"Min","MaxMin Thermometer (manual)","Saline",""
"23",23,"1984-01-31",22,"Min","MaxMin Thermometer (manual)","Saline",""
"24",24,"1984-02-01",23,"Min","MaxMin Thermometer (manual)","Saline",""
"25",25,"1984-02-02",22,"Min","MaxMin Thermometer (manual)","Saline",""
"26",26,"1984-02-04",23,"Min","MaxMin Thermometer (manual)","Saline",""
"27",27,"1984-02-06",23,"Min","MaxMin Thermometer (manual)","Saline",""
"28",28,"1984-02-07",22,"Min","MaxMin Thermometer (manual)","Saline",""
"29",29,"1984-02-08",22,"Min","MaxMin Thermometer (manual)","Saline",""
"30",30,"1984-02-09",22.5,"Min","MaxMin Thermometer (manual)","Saline",""
"31",31,"1984-02-12",22,"Min","MaxMin Thermometer (manual)","Saline",""
"32",32,"1984-02-14",23,"Min","MaxMin Thermometer (manual)","Saline",""
"33",33,"1984-02-15",23,"Min","MaxMin Thermometer (manual)","Saline",""
"34",34,"1984-02-16",24,"Min","MaxMin Thermometer (manual)","Saline",""
"35",35,"1984-02-19",21,"Min","MaxMin Thermometer (manual)","Saline",""
"36",36,"1984-02-21",21,"Min","MaxMin Thermometer (manual)","Saline",""
"37",37,"1984-02-22",20.5,"Min","MaxMin Thermometer (manual)","Saline",""
"38",38,"1984-02-23",22,"Min","MaxMin Thermometer (manual)","Saline",""
"39",40,"1984-02-27",20,"Min","MaxMin Thermometer (manual)","Saline",""
"40",41,"1984-02-29",21,"Min","MaxMin Thermometer (manual)","Saline",""
"41",42,"1984-03-02",21,"Min","MaxMin Thermometer (manual)","Saline",""
"42",43,"1984-03-04",21,"Min","MaxMin Thermometer (manual)","Saline",""
"43",44,"1984-03-05",20.5,"Min","MaxMin Thermometer (manual)","Saline",""
"44",45,"1984-03-06",21,"Min","MaxMin Thermometer (manual)","Saline",""
"45",46,"1984-03-07",22,"Min","MaxMin Thermometer (manual)","Saline",""
"46",47,"1984-03-08",21,"Min","MaxMin Thermometer (manual)","Saline",""
"47",48,"1984-03-09",22,"Min","MaxMin Thermometer (manual)","Saline",""
"48",49,"1984-03-11",21,"Min","MaxMin Thermometer (manual)","Saline",""
"49",50,"1984-03-12",21.5,"Min","MaxMin Thermometer (manual)","Saline",""
"50",51,"1984-03-14",21,"Min","MaxMin Thermometer (manual)","Saline",""
"51",52,"1984-03-16",21,"Min","MaxMin Thermometer (manual)","Saline",""
"52",53,"1984-03-18",22.5,"Min","MaxMin Thermometer (manual)","Saline",""
"53",54,"1984-03-19",21,"Min","MaxMin Thermometer (manual)","Saline",""
"54",55,"1984-03-20",21,"Min","MaxMin Thermometer (manual)","Saline",""
"55",56,"1984-03-21",21,"Min","MaxMin Thermometer (manual)","Saline",""
"56",57,"1984-03-24",20.5,"Min","MaxMin Thermometer (manual)","Saline",""
"57",58,"1984-03-26",23,"Min","MaxMin Thermometer (manual)","Saline",""
