DateTime,%leafs,%flowers,%fruits
2023-06-08,75.0,0.0,0.0
2023-06-09,75.0,0.0,0.0
2023-06-10,75.0,0.0,0.0
2023-06-11,75.0,0.0,0.0
2023-06-12,75.0,0.0,0.0
2023-06-13,75.0,0.0,0.0
2023-06-14,75.0,0.0,0.0
2023-06-15,75.0,0.0,0.0
2023-06-16,75.0,0.0,0.0
2023-06-17,75.0,0.0,0.0
2023-06-18,75.0,0.0,0.0
2023-06-19,75.0,0.0,0.0
2023-06-20,75.0,0.0,0.0
2023-06-21,75.0,0.0,0.0
2023-06-22,75.0,0.0,0.0
2023-06-23,75.0,0.0,0.0
2023-06-24,75.0,0.0,0.0
2023-06-25,75.0,0.0,0.0
2023-06-26,75.0,0.0,0.0
2023-06-27,75.0,0.0,0.0
2023-06-28,75.0,0.0,0.0
2023-06-29,75.0,0.0,0.0
2023-06-30,75.0,0.0,0.0
2023-07-01,75.0,0.0,0.0
2023-07-02,75.0,0.0,0.0
2023-07-03,75.0,0.0,0.0
2023-07-04,75.0,0.0,0.0
2023-07-05,75.0,0.0,0.0
2023-07-06,75.0,0.0,0.0
2023-07-07,75.0,0.0,0.0
2023-07-08,75.0,0.0,0.0
2023-07-09,75.0,0.0,0.0
2023-07-10,75.0,0.0,0.0
2023-07-11,75.0,0.0,0.0
2023-07-12,75.0,0.0,0.0
2023-07-13,75.0,0.0,0.0
2023-07-14,75.0,0.0,0.0
2023-07-15,75.0,0.0,0.0
2023-07-16,75.0,0.0,0.0
2023-07-17,75.0,0.0,0.0
2023-07-18,75.0,0.0,0.0
2023-07-19,75.0,0.0,0.0
2023-07-20,75.0,0.0,0.0
2023-07-21,75.0,0.0,0.0
2023-07-22,75.0,0.0,0.0
2023-07-23,75.0,0.0,0.0
2023-07-24,75.0,0.0,0.0
2023-07-25,75.0,0.0,0.0
2023-07-26,75.0,0.0,0.0
2023-07-27,75.0,0.0,0.0
2023-07-28,75.0,0.0,0.0
2023-07-29,75.0,0.0,0.0
2023-07-30,50.0,0.0,0.0
2023-07-31,50.0,0.0,0.0
2023-08-01,50.0,0.0,0.0
2023-08-02,50.0,0.0,0.0
2023-08-03,50.0,0.0,0.0
2023-08-04,50.0,0.0,0.0
2023-08-05,50.0,0.0,0.0
2023-08-06,50.0,0.0,0.0
2023-08-07,50.0,0.0,0.0
2023-08-08,50.0,0.0,0.0
2023-08-09,50.0,0.0,0.0
2023-08-10,50.0,0.0,0.0
2023-08-11,50.0,0.0,0.0
2023-08-12,,,
2023-08-13,,,
2023-08-14,,,
2023-08-15,,,
2023-08-16,,,
2023-08-17,,,
2023-08-18,,,
2023-08-19,,,
2023-08-20,,,
2023-08-21,,,
2023-08-22,,,
2023-08-23,,,
2023-08-24,,,
2023-08-25,,,
2023-08-26,,,
2023-08-27,,,
2023-08-28,,,
2023-08-29,,,
2023-08-30,,,
2023-08-31,,,
2023-09-01,,,
2023-09-02,,,
2023-09-03,,,
2023-09-04,,,
2023-09-05,,,
2023-09-06,,,
2023-09-07,,,
2023-09-08,,,
2023-09-09,,,
2023-09-10,,,
2023-09-11,,,
2023-09-12,,,
2023-09-13,,,
2023-09-14,,,
2023-09-15,,,
2023-09-16,,,
2023-09-17,,,
2023-09-18,,,
2023-09-19,,,
2023-09-20,,,
2023-09-21,,,
2023-09-22,,,
2023-09-23,,,
2023-09-24,,,
2023-09-25,,,
2023-09-26,,,
2023-09-27,,,
2023-09-28,,,
2023-09-29,,,
2023-09-30,,,
2023-10-01,,,
2023-10-02,,,
2023-10-03,,,
2023-10-04,,,
2023-10-05,,,
2023-10-06,,,
2023-10-07,,,
2023-10-08,,,
2023-10-09,,,
2023-10-10,,,
2023-10-11,,,
2023-10-12,,,
2023-10-13,,,
2023-10-14,,,
2023-10-15,,,
2023-10-16,,,
2023-10-17,,,
2023-10-18,,,
2023-10-19,,,
2023-10-20,,,
2023-10-21,,,
2023-10-22,,,
2023-10-23,,,
2023-10-24,,,
2023-10-25,,,
2023-10-26,,,
2023-10-27,,,
2023-10-28,,,
2023-10-29,,,
2023-10-30,,,
2023-10-31,,,
2023-11-01,,,
2023-11-02,,,
2023-11-03,,,
2023-11-04,,,
2023-11-05,,,
2023-11-06,,,
2023-11-07,,,
2023-11-08,,,
2023-11-09,,,
2023-11-10,,,
2023-11-11,,,
2023-11-12,,,
2023-11-13,,,
2023-11-14,,,
2023-11-15,,,
2023-11-16,,,
2023-11-17,,,
2023-11-18,,,
2023-11-19,,,
2023-11-20,,,
2023-11-21,,,
2023-11-22,,,
2023-11-23,,,
2023-11-24,,,
2023-11-25,,,
2023-11-26,,,
2023-11-27,,,
2023-11-28,,,
2023-11-29,,,
2023-11-30,,,
2023-12-01,,,
2023-12-02,,,
2023-12-03,,,
2023-12-04,,,
2023-12-05,,,
2023-12-06,,,
2023-12-07,,,
2023-12-08,,,
2023-12-09,,,
2023-12-10,,,
2023-12-11,,,
2023-12-12,,,
2023-12-13,,,
2023-12-14,,,
2023-12-15,,,
2023-12-16,,,
2023-12-17,,,
2023-12-18,,,
2023-12-19,,,
2023-12-20,,,
2023-12-21,,,
2023-12-22,,,
2023-12-23,,,
2023-12-24,,,
2023-12-25,,,
2023-12-26,,,
2023-12-27,,,
2023-12-28,,,
2023-12-29,,,
2023-12-30,,,
2023-12-31,,,
2024-01-01,,,
2024-01-02,,,
2024-01-03,,,
2024-01-04,,,
2024-01-05,,,
2024-01-06,,,
2024-01-07,,,
2024-01-08,,,
2024-01-09,,,
2024-01-10,,,
2024-01-11,,,
2024-01-12,,,
2024-01-13,,,
2024-01-14,,,
2024-01-15,,,
2024-01-16,,,
2024-01-17,,,
2024-01-18,,,
2024-01-19,,,
2024-01-20,,,
2024-01-21,,,
2024-01-22,,,
2024-01-23,,,
2024-01-24,,,
2024-01-25,,,
2024-01-26,,,
2024-01-27,,,
2024-01-28,,,
2024-01-29,,,
2024-01-30,,,
2024-01-31,,,
2024-02-01,,,
2024-02-02,,,
2024-02-03,,,
2024-02-04,,,
2024-02-05,,,
2024-02-06,,,
2024-02-07,,,
2024-02-08,,,
2024-02-09,,,
2024-02-10,,,
2024-02-11,,,
2024-02-12,,,
2024-02-13,,,
