DateTime,%leafs,%flowers,%fruits,Days_since_start,Period,Day_of_Period,%leaves_roll2D,%flowers_roll2D,%fruits_roll2D
2023-06-08 10:00:00,75.0,0.0,0.0,0.0,0,0.0,75.0,0.0,0.0
2023-06-09 10:00:00,75.0,0.0,0.0,1.0,0,1.0,75.0,0.0,0.0
2023-06-10 10:00:00,75.0,0.0,0.0,2.0,0,2.0,75.0,0.0,0.0
2023-06-11 10:00:00,75.0,0.0,0.0,3.0,0,3.0,75.0,0.0,0.0
2023-06-12 10:00:00,75.0,0.0,0.0,4.0,0,4.0,75.0,0.0,0.0
2023-06-13 10:00:00,75.0,0.0,0.0,5.0,0,5.0,75.0,0.0,0.0
2023-06-14 10:00:00,75.0,0.0,0.0,6.0,0,6.0,75.0,0.0,0.0
2023-06-15 10:00:00,75.0,0.0,0.0,7.0,0,7.0,75.0,0.0,0.0
2023-06-16 10:00:00,75.0,0.0,0.0,8.0,0,8.0,75.0,0.0,0.0
2023-06-17 10:00:00,75.0,0.0,0.0,9.0,0,9.0,75.0,0.0,0.0
2023-06-18 10:00:00,75.0,0.0,0.0,10.0,0,10.0,75.0,0.0,0.0
2023-06-19 10:00:00,75.0,0.0,0.0,11.0,0,11.0,75.0,0.0,0.0
2023-06-20 10:00:00,75.0,0.0,0.0,12.0,0,12.0,75.0,0.0,0.0
2023-06-21 10:00:00,75.0,0.0,0.0,13.0,0,13.0,75.0,0.0,0.0
2023-06-22 10:00:00,75.0,0.0,0.0,14.0,0,14.0,75.0,0.0,0.0
2023-06-23 10:00:00,75.0,0.0,0.0,15.0,0,15.0,75.0,0.0,0.0
2023-06-24 10:00:00,75.0,0.0,0.0,16.0,0,16.0,75.0,0.0,0.0
2023-06-25 10:00:00,75.0,0.0,0.0,17.0,0,17.0,75.0,0.0,0.0
2023-06-26 10:00:00,75.0,0.0,0.0,18.0,0,18.0,75.0,0.0,0.0
2023-06-27 10:00:00,75.0,0.0,0.0,19.0,0,19.0,75.0,0.0,0.0
2023-06-28 10:00:00,75.0,0.0,0.0,20.0,0,20.0,75.0,0.0,0.0
2023-06-29 10:00:00,75.0,0.0,0.0,21.0,0,21.0,75.0,0.0,0.0
2023-06-30 10:00:00,75.0,0.0,0.0,22.0,0,22.0,75.0,0.0,0.0
2023-07-01 10:00:00,75.0,0.0,0.0,23.0,0,23.0,75.0,0.0,0.0
2023-07-02 10:00:00,75.0,0.0,0.0,24.0,0,24.0,75.0,0.0,0.0
2023-07-03 10:00:00,75.0,0.0,0.0,25.0,0,25.0,75.0,0.0,0.0
2023-07-04 10:00:00,75.0,0.0,0.0,26.0,0,26.0,75.0,0.0,0.0
