Gap Start,Gap End,Duration,Notes
2023-06-15 00:20:00,2023-06-16 00:00:00,0 days 23:40:00,
2023-07-29 00:20:00,2023-07-30 19:00:00,1 days 18:40:00,
2023-08-23 00:20:00,2023-08-24 00:00:00,0 days 23:40:00,
2023-08-29 18:40:00,2023-09-01 17:00:00,2 days 22:20:00,
2023-12-03 00:20:00,2023-12-04 00:00:00,0 days 23:40:00,
2023-12-08 00:20:00,2023-12-09 00:00:00,0 days 23:40:00,
2024-03-12 00:20:00,2024-03-13 00:00:00,0 days 23:40:00,
2024-04-06 00:20:00,2024-04-07 00:00:00,0 days 23:40:00,
2024-09-10 00:20:00,2024-09-11 00:00:00,0 days 23:40:00,
2024-09-29 00:20:00,2024-09-30 00:00:00,0 days 23:40:00,
2024-10-01 00:20:00,2024-10-02 00:00:00,0 days 23:40:00,
2024-10-29 00:20:00,2024-10-31 16:00:00,2 days 15:40:00,
2025-01-20 13:20:00,2025-01-27 03:00:00,6 days 13:40:00,
